2pyy (Set 1/148) was re-resolved by Greg Warren (OpenEye).  A key arginine side chain
had poor agreement with the local density.  By moving the side chains and re-solving,
Greg improved its fit to density and its complement of the ligand.

345 STRUCTURES HAVE BEEN KEPT AFTER THE REMEDIATION

Set	Number	PDBid	Protein
2	29	1g2k	PROTEASE RETROPEPSIN
2	34	1gj8	UROKINASE-TYPE PLASMINOGEN ACTIVATOR
2	35	1gjd	UROKINASE-TYPE PLASMINOGEN ACTIVATOR
2	36	1gpk	ACETYLCHOLINESTERASE
2	39	1gyy	HYPOTHETICAL PROTEIN YDCE
2	40	1gz9	ERYTHRINA CRISTA-GALLI LECTIN
2	41	1gzc	ERYTHRINA CRISTA-GALLI LECTIN
2	42	1h22	ACETYLCHOLINESTERASE
2	43	1h23	ACETYLCHOLINESTERASE
2	44	1h46	EXOGLUCANASE I
2	45	1ha2	SERUM ALBUMIN
2	47	1hnn	PHENYLETHANOLAMINE N-METHYLTRANSFERASE
2	48	1i7z	CHIMERA OF IG GAMMA-1/KAPPA CHAINS: HUMAN CONSTANT REGION AND MOUSE VARIABLE REGION
2	49	1iy7	Carboxypeptidase A
2	53	1jgl	Ig gamma-1-chain/kappa-chain
2	56	1kzk	Protease
2	62	1lnm	DigA16
2	63	1lrh	auxin-binding protein 1
2	67	1nc1	MTA/SAH nucleosidase
2	68	1nc3	MTA/SAH nucleosidase
2	71	1nli	Ribosome-inactivating protein alpha-trichosanthin
2	74	1nw5	MODIFICATION METHYLASE RSRI
2	77	1ow4	pheromone binding protein
2	78	1p1n	Glutamate receptor 2
2	79	1p1o	Glutamate receptor 2
2	81	1ps3	Alpha-mannosidase II
2	82	1pxp	Cell division protein kinase 2
2	87	1r5y	Queuine tRNA-ribosyltransferase
2	88	1s38	tRNA guanine transglycosylase
2	89	1s39	tRNA guanine transglycosylase
2	91	1sr7	Progesterone receptor
2	92	1sw1	osmoprotection protein (proX)
2	95	1syh	Glutamate receptor 2
2	96	1syi	Glutamate receptor 2
2	97	1toj	Aspartate aminotransferase
2	98	1tok	Aspartate aminotransferase
2	99	1u1w	Phenazine biosynthesis protein phzF
2	101	1ua4	ADP-dependent glucokinase
2	102	1ugx	Agglutinin alpha and beta-3 chains
2	104	1ui0	Uracil-DNA Glycosylase
2	105	1urg	MALTOSE-BINDING PROTEIN
2	107	1utm	TRYPSIN I
2	109	1uwu	BETA-GALACTOSIDASE
2	110	1uz1	BETA-GLUCOSIDASE A
2	111	1uz4	MAN5A
2	113	1v0l	ENDO-1,4-BETA-XYLANASE A
2	114	1v1j	3-DEHYDROQUINATE DEHYDRATASE
2	115	1w2g	THYMIDYLATE KINASE TMK
2	119	1ws4	Agglutinin alpha and beta-3 chaina
2	121	1x8d	Hypothetical protein yiiL
2	122	1x9d	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase
2	124	1xge	Dihydroorotase
2	126	1y0l	Catalytic Antibody Fab 34E4 Heavy and Light chains
2	127	1y1m	Glutamate [NMDA] receptor subunit zeta 1
2	128	1y1z	Glutamate [NMDA] receptor subunit zeta 1
2	129	1y20	Glutamate [NMDA] receptor subunit zeta 1
2	130	1yc1	Heat shock protein HSP 90-alpha
2	131	1ydk	Glutathione S-transferase A1
2	132	1z95	Androgen Receptor
2	135	1zhy	KES1 protein
2	138	2aac	ARAC
2	139	2afx	Glutaminyl-peptide cyclotransferase
2	140	2ayr	Estrogen receptor
2	141	2azr	Tyrosine-protein phosphatase, non-receptor type 1
2	142	2b07	Tyrosine-protein phosphatase, non-receptor type 1
2	147	2boh	COAGULATION FACTOR XA
2	148	2boj	PSEUDOMONAS AERUGINOSA LECTIN II
2	150	2brb	SERINE/THREONINE-PROTEIN KINASE CHK1
2	151	2bvd	ENDOGLUCANASE H
2	152	2byr	ACETYLCHOLINE-BINDING PROTEIN
2	153	2cji	ACTIVATED FACTOR XA HEAVY AND LIGHT CHAINS
2	154	2d3u	polyprotein
2	155	2d3z	polyprotein
2	160	2f5t	archaeal transcriptional regulator TrmB
2	167	2fai	Estrogen receptor
2	168	2fdp	Beta-secretase 1
2	169	2ff1	IAG-nucleoside hydrolase
2	170	2fpz	Tryptase beta-2
2	171	2fqt	S-ribosylhomocysteine lyase
2	172	2fqw	Membrane lipoprotein tmpC
2	173	2fqx	Membrane lipoprotein tmpC
2	174	2fqy	Membrane lipoprotein tmpC
2	175	2fvd	Cell division protein kinase 2
2	176	2fw6	N5-carboxyaminoimidazole ribonucleotide mutase
2	178	2fxu	Actin, alpha skeletal muscle
2	180	2h6b	ChloroPhenol Reduction gene K
2	182	2hb1	Tyrosine-protein phosphatase non-receptor type 1
2	184	2hdq	Beta-lactamase
2	185	2hdr	Beta-lactamase
2	187	2i0a	Protease
2	188	2i0d	Protease
2	190	2il2	Renin
2	192	2iwx	ATP-DEPENDENT MOLECULAR CHAPERONE HSP82
2	193	2j2u	COAGULATION FACTOR X HEAVY AND LIGHT CHAIN
2	194	2j34	ACTIVATED FACTOR XA HEAVY AND LIGHT CHAIN
2	195	2j4i	COAGULATION FACTOR X
2	196	2j78	BETA-GLUCOSIDASE A
2	201	1bcj	MANNOSE-BINDING PROTEIN-A
2	202	1bky	VP39
2	204	1d4i	HIV-1 PROTEASE
2	205	1d4j	HIV-1 PROTEASE
2	207	1eby	HIV-1 PROTEASE
2	208	1ebz	HIV-1 PROTEASE
2	209	1ec0	HIV-1 PROTEASE
2	210	1ec1	HIV-1 PROTEASE
2	211	1ec2	HIV-1 PROTEASE
2	213	1enu	TRNA-GUANINE TRANSGLYCOSYLASE
2	214	1f74	N-ACETYL-NEURAMINATE LYASE
2	215	1gi9	UROKINASE-TYPE PLASMINOGEN ACTIVATOR
2	217	1gww	N-ACETYLLACTOSAMINIDE ALPHA-1,3-GALACTOSYLTRANSFERASE
2	218	1gx0	N-ACETYLLACTOSAMINIDE ALPHA-1,3-GALACTOSYLTRANSFERASE
2	220	1o5a	Urokinase-type plasminogen activator
2	222	1o5r	Adenosine deaminase
2	223	1q4w	Queuine tRNA-ribosyltransferase
2	224	1qkt	ESTRADIOL RECEPTOR
2	225	1qxl	Adenosine deaminase
2	226	1rdi	MANNOSE-BINDING PROTEIN-C
2	227	1rdn	MANNOSE-BINDING PROTEIN-C
2	230	1tr7	FimH protein
2	232	1usi	LEUCINE-SPECIFIC BINDING PROTEIN
2	233	1usk	LEUCINE-SPECIFIC BINDING PROTEIN
2	234	1w3k	ENDOGLUCANASE 5A
2	235	1yxd	dihydrodipicolinate synthase
2	237	2a3c	chitinase
2	247	2fv5	ADAM 17
2	249	2h21	Ribulose-1,5 bisphosphate carboxylase/oxygenase
2	251	2hd6	Carbonic anhydrase 2
2	257	2buv	PROTOCATECHUATE 3,4-DIOXYGENASE ALPHA AND BETA CHAINS
2	258	1m01	Beta-N-acetylhexosaminidase
2	260	1xl5	PROTEASE RETROPEPSIN
2	261	1y93	Macrophage metalloelastase
2	262	4ubp	PROTEIN (UREASE)
2	266	1lhw	SEX HORMONE-BINDING GLOBULIN
2	269	1q0y	Fab 9B1, Heavy and Light chains
2	270	1s50	Glutamate Receptor 6
2	271	1s7y	Glutamate receptor, ionotropic kainate 2 precursor
2	272	1s9t	Glutamate receptor, ionotropic kainate 2
2	273	1tt1	Glutamate receptor, ionotropic kainate 2
2	274	1txf	Glutamate receptor, ionotropic kainate 1
2	276	1uld	galectin-2
2	277	1uzv	PSEUDOMONAS AERUGINOSA LECTIN II
2	278	1zhx	KES1 protein
2	281	2dm5	Major Urinary Protein
2	283	1q6e	beta-amylase
2	284	1q6g	beta-amylase
2	286	1xw6	Glutathione S-transferase Mu 1
2	287	1ax2	LECTIN
2	290	2hj4	Aromatic amine dehydrogenase
2	291	2qrk	Saccharopine dehydrogenase [NAD+, L-lysine-forming
2	292	2nn1	Carbonic anhydrase 1
2	293	2pou	Carbonic anhydrase 2
2	294	1z3t	cellulase
2	296	3cd0	3-hydroxy-3-methylglutaryl-coenzyme A reductase
2	297	3cda	3-hydroxy-3-methylglutaryl-coenzyme A reductase


